,period,msn,seriesDescription,value,unit
230,2022-01,EMLCBUS,"Fuel Ethanol, Excluding Denaturant, Losses and Co-products in Trillion Btu",70.738,Trillion Btu
231,2022-01,EMTCBUS,"Fuel Ethanol, Excluding Denaturant, Consumption in Trillion Btu",89.477,Trillion Btu
232,2022-01,EMTCEUS,"Fuel Ethanol, Excluding Denaturant, CO2 Emissions in Million Metric Tons of Carbon Dioxide",6.124,Million Metric Tons of Carbon Dioxide
233,2022-01,ENDNPUS,Fuel Ethanol Denaturant in Thousand Barrels,599.603,Thousand Barrels
234,2022-01,ENNIPUS,Fuel Ethanol Net Imports in Thousand Barrels,-2695.732,Thousand Barrels
235,2022-01,ENPRBUS,Fuel Ethanol Production in Trillion Btu,114.496,Trillion Btu
236,2022-01,ENPRMUS,Fuel Ethanol Production in Million Gallons,1352.699,Million Gallons
237,2022-01,ENPRPUS,Fuel Ethanol Production in Thousand Barrels,32207.129,Thousand Barrels
238,2022-01,ENPSPUS,"Fuel Ethanol Stocks, End of Period in Thousand Barrels",25759.311,Thousand Barrels
239,2022-01,ENSCPUS,Fuel Ethanol Stock Change in Thousand Barrels,3748.596,Thousand Barrels
240,2022-01,ENTCBUS,Fuel Ethanol Consumption in Trillion Btu,91.587,Trillion Btu
241,2022-01,ENTCMUS,Fuel Ethanol Consumption in Million Gallons,1082.038,Million Gallons
242,2022-01,ENTCPUS,Fuel Ethanol Consumption in Thousand Barrels,25762.801,Thousand Barrels
243,2022-01,ESACBUS,Electricity Sales to Ultimate Customers in the Transportation Sector in Trillion Btu,1.926,Trillion Btu
244,2022-01,ESACEUS,Transportation Share of Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,0.242,Million Metric Tons of Carbon Dioxide
245,2022-01,ESACPUS,"Electricity Sales to Ultimate Customers, Transportation in Million Kilowatthours",564.611,Million Kilowatthours
246,2022-01,ESACUUS,"Average Price of Electricity to Ultimate Customers, Transportation in Cents per Kilowatthour,  Including Taxes",10.91,"Cents per Kilowatthour,  Including Taxes"
247,2022-01,ESCCBUS,Electricity Sales to Ultimate Customers in the Commercial Sector in Trillion Btu,383.171,Trillion Btu
248,2022-01,ESCCEUS,Commercial Share of Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,48.09,Million Metric Tons of Carbon Dioxide
249,2022-01,ESCCPUS,"Electricity Sales to Ultimate Customers, Commercial in Million Kilowatthours",112300.898,Million Kilowatthours
250,2022-01,ESCMUUS,"Average Price of Electricity to Ultimate Customers, Commercial in Cents per Kilowatthour,  Including Taxes",11.35,"Cents per Kilowatthour,  Including Taxes"
251,2022-01,ESICBUS,Electricity Sales to Ultimate Customers in the Industrial Sector in Trillion Btu,284.232,Trillion Btu
252,2022-01,ESICEUS,Industrial Share of Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,35.672,Million Metric Tons of Carbon Dioxide
253,2022-01,ESICPUS,"Electricity Sales to Ultimate Customers, Industrial in Million Kilowatthours",83303.666,Million Kilowatthours
254,2022-01,ESICUUS,"Average Price of Electricity to Ultimate Customers, Industrial in Cents per Kilowatthour,  Including Taxes",7.3,"Cents per Kilowatthour,  Including Taxes"
255,2022-01,ESOTUUS,"Average Price of Electricity to Ultimate Customers, Other in Cents per Kilowatthour,  Including Taxes",Not Applicable,"Cents per Kilowatthour,  Including Taxes"
256,2022-01,ESRCAUS,Average Cost of Residential Electricity in Dollars per Million Btu,14.292,Dollars per Million Btu
257,2022-01,ESRCBUS,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,481.314,Trillion Btu
258,2022-01,ESRCEUS,Residential Share of Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,60.407,Million Metric Tons of Carbon Dioxide
259,2022-01,ESRCOUS,Average Cost of Residential Electricity in Cents per Kilowatthour,4.876,Cents per Kilowatthour
260,2022-01,ESRCPUS,"Electricity Sales to Ultimate Customers, Residential in Million Kilowatthours",141065.139,Million Kilowatthours
261,2022-01,ESRCUUS,"Average Price of Electricity to Ultimate Customers, Residential in Cents per Kilowatthour,  Including Taxes",13.71,"Cents per Kilowatthour,  Including Taxes"
262,2022-01,ESTCBUS,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,1150.643,Trillion Btu
263,2022-01,ESTCPUS,"Electricity Sales to Ultimate Customers, Total in Million Kilowatthours",337234.314,Million Kilowatthours
264,2022-01,ESTCUUS,"Average Price of Electricity to Ultimate Customers, Total in Cents per Kilowatthour,  Including Taxes",11.34,"Cents per Kilowatthour,  Including Taxes"
265,2022-01,FFACBUS,Total Fossil Fuels Consumed by the Transportation Sector in Trillion Btu,2042.643,Trillion Btu
266,2022-01,FFC9PUS,"Fossil Fuels Commercial Sector, Net Summer Capacity in Million Kilowatts",3.27,Million Kilowatts
267,2022-01,FFCCBUS,Total Fossil Fuels Consumed by the Commercial Sector in Trillion Btu,680.597,Trillion Btu
268,2022-01,FFEIBUS,Total Fossil Fuels Consumed by the Electric Power Sector in Trillion Btu,1948.068,Trillion Btu
269,2022-01,FFERDUS,"Average Cost of Fossil Fuel Receipts at Electric Generating Plants in Dollars per Million Btu, Including Taxes",4.68,"Dollars per Million Btu, Including Taxes"
270,2022-01,FFGBPUS,"Fossil Fuels, Net Summer Capacity in Million Kilowatts",730.898,Million Kilowatts
271,2022-01,FFI9PUS,"Fossil Fuels Industrial Sector, Net Summer Capacity in Million Kilowatts",19.588,Million Kilowatts
272,2022-01,FFICBUS,Total Fossil Fuels Consumed by the Industrial Sector in Trillion Btu,1847.963,Trillion Btu
273,2022-01,FFL9PUS,"Fossil Fuels Electric Power Sector, Net Summer Capacity in Million Kilowatts",708.041,Million Kilowatts
274,2022-01,FFPRBUS,Total Fossil Fuels Production in Quadrillion Btu,6673.278,Quadrillion Btu
275,2022-01,FFRCBUS,Total Fossil Fuels Consumed by the Residential Sector in Trillion Btu,1155.484,Trillion Btu
276,2022-01,FFTCBUS,Total Fossil Fuels Consumption in Quadrillion Btu,7675.3,Quadrillion Btu
277,2022-01,GEC9PUS,"Geothermal Commercial Sector, Net Summer Capacity  in Million Kilowatts",0.074,Million Kilowatts
278,2022-01,GECCBUS,Geothermal Energy Consumed by the Commercial Sector in Trillion Btu,2.173,Trillion Btu
279,2022-01,GEEGBUS,Geothermal Energy Consumed by the Electric Power Sector in Trillion Btu,13.348,Trillion Btu
280,2022-01,GEEGPUS,"Electricity Net Generation From Geothermal, Electric Power Sector in Million Kilowatthours",1509.475,Million Kilowatthours
281,2022-01,GEEIEUS,Geothermal Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,0.04,Million Metric Tons of Carbon Dioxide
282,2022-01,GEETPUS,"Electricity Net Generation From Geothermal, All Sectors in Million Kilowatthours",1566.027,Million Kilowatthours
283,2022-01,GEGBPUS,"Geothermal, Net Summer Capacity in Million Kilowatts",2.597,Million Kilowatts
284,2022-01,GEI9PUS,"Geothermal Industrial Sector, Net Summer Capacity  in Million Kilowatts",No Data Reported,Million Kilowatts
285,2022-01,GEICBUS,Geothermal Energy Consumed by the Industrial Sector in Trillion Btu,0.357,Trillion Btu
286,2022-01,GEL9PUS,"Geothermal Electric Power Sector, Net Summer Capacity  in Million Kilowatts",2.523,Million Kilowatts
287,2022-01,GERCBUS,Geothermal Energy Consumed by the Residential Sector in Trillion Btu,3.363,Trillion Btu
288,2022-01,GETCBUS,Geothermal Energy Consumption/Production in Trillion Btu,19.242,Trillion Btu
289,2022-01,HLACBUS,Propane Consumed by the Transportation Sector in Trillion Btu,0.388,Trillion Btu
290,2022-01,HLACEUS,HGL Transportation Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,0.024,Million Metric Tons of Carbon Dioxide
291,2022-01,HLACPUS,Propane Consumed by the Transportation Sector in Thousand Barrels per Day,3.258,Thousand Barrels per Day
292,2022-01,HLCCBUS,Propane Consumed by the Commercial Sector in Trillion Btu,30.465,Trillion Btu
293,2022-01,HLCCEUS,HGL Commercial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,1.916,Million Metric Tons of Carbon Dioxide
294,2022-01,HLCCPUS,Propane Consumed by the Commercial Sector in Thousand Barrels per Day,255.857,Thousand Barrels per Day
295,2022-01,HLEXPUS,Total Hydrocarbon Gas Liquids Exports in Thousand Barrels per Day,2283.618,Thousand Barrels per Day
296,2022-01,HLICBUS,Total Hydrocarbon Gas Liquids Consumed by the Industrial Sector in Trillion Btu,307.06,Trillion Btu
297,2022-01,HLICEUS,HGL Industrial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,5.356,Million Metric Tons of Carbon Dioxide
298,2022-01,HLICPUS,Total Hydrocarbon Gas Liquids Consumed by the Industrial Sector in Thousand Barrels per Day,3068.534,Thousand Barrels per Day
299,2022-01,HLIMPUS,Total Hydrocarbon Gas Liquids Imports in Thousand Barrels per Day,220.161,Thousand Barrels per Day
300,2022-01,HLNFBUS,Hydrocarbon Gas Liquids Non-Combustion Consumption in Quadrillion Btu,0.277144,Quadrillion Btu
301,2022-01,HLNFPUS,Hydrocarbon Gas Liquids Non-Combustion Consumption in Thousand Barrels per Day,2839.033,Thousand Barrels per Day
302,2022-01,HLPSPUS,Total Hydrocarbon Gas Liquids Stocks in Million Barrels,161.101,Million Barrels
303,2022-01,HLRCBUS,Propane Consumed by the Residential Sector in Trillion Btu,89.714,Trillion Btu
304,2022-01,HLRCEUS,HGL Residential Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,5.642,Million Metric Tons of Carbon Dioxide
305,2022-01,HLRCPUS,Propane Consumed by the Residential Sector in Thousand Barrels per Day,753.449,Thousand Barrels per Day
306,2022-01,HLROPUS,Total Hydrocarbon Gas Liquids Refinery and Blender Net Production in Thousand Barrels per Day,379.484,Thousand Barrels per Day
307,2022-01,HLTCBUS,Total Hydrocarbon Gas Liquids Product Supplied in Trillion Btu,427.627,Trillion Btu
308,2022-01,HLTCEUS,Hydrocarbon Gas Liquids CO2 Emissions in Million Metric Tons of Carbon Dioxide,12.938,Million Metric Tons of Carbon Dioxide
309,2022-01,HLTCPUS,Total Hydrocarbon Gas Liquids Product Supplied in Thousand Barrels per Day,4081.099,Thousand Barrels per Day
310,2022-01,HPC9PUS,"Hydroelectric Pumped Storage Commercial Sector, Net Summer Capacity in Million Kilowatts",No Data Reported,Million Kilowatts
311,2022-01,HPEGPUS,"Electricity Net Generation From Hydroelectric Pumped Storage, Electric Power Sector in Million Kilowatthours",-493.31,Million Kilowatthours
312,2022-01,HPETPUS,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors in Million Kilowatthours",-493.31,Million Kilowatthours
313,2022-01,HPGBPUS,"Hydroelectric Pumped Storage, Net Summer Capacity in Million Kilowatts",23.008,Million Kilowatts
314,2022-01,HPI9PUS,"Hydroelectric Pumped Storage Industrial Sector, Net Summer Capacity in Million Kilowatts",No Data Reported,Million Kilowatts
315,2022-01,HPL9PUS,"Hydroelectric Pumped Storage Electric Power Sector, Net Summer Capacity in Million Kilowatts",23.008,Million Kilowatts
316,2022-01,HRTWPUS,"Crude Oil, Natural Gas, and Dry Wells Drilled, Horizontal and Directional Trajectory in Number",931,Number
317,2022-01,HVC9PUS,"Conventional Hydroelectric Power Commercial Sector, Net Summer Capacity in Million Kilowatts",0.085,Million Kilowatts
318,2022-01,HVCCBUS,Conventional Hydroelectric Power Consumed by the Commercial Sector in Trillion Btu,0.258,Trillion Btu
319,2022-01,HVEGBUS,Conventional Hydroelectric Power Consumed by the Electric Power Sector in Trillion Btu,231.475,Trillion Btu
320,2022-01,HVEGPUS,"Electricity Net Generation From Conventional Hydroelectric Power, Electric Power Sector in Million Kilowatthours",26176.039,Million Kilowatthours
321,2022-01,HVETPUS,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors in Million Kilowatthours",26288.416,Million Kilowatthours
322,2022-01,HVGBPUS,"Conventional Hydroelectric Power, Net Summer Capacity in Million Kilowatts",79.926,Million Kilowatts
323,2022-01,HVI5PUS,"Electricity Net Generation From Hydroelectric Power, Industrial Sector in Million Kilowatthours",83.242,Million Kilowatthours
324,2022-01,HVI9PUS,"Conventional Hydroelectric Power Industrial Sector, Net Summer Capacity in Million Kilowatts",0.214,Million Kilowatts
325,2022-01,HVICBUS,Conventional Hydroelectric Power Consumed by the Industrial Sector in Trillion Btu,0.736,Trillion Btu
326,2022-01,HVL9PUS,"Conventional Hydroelectric Power Electric Power Sector, Net Summer Capacity in Million Kilowatts",79.627,Million Kilowatts
327,2022-01,HVTCBUS,Hydroelectric Power Consumption/Production in Trillion Btu,232.468,Trillion Btu
328,2022-01,JFACBUS,Jet Fuel Consumed by the Transportation Sector in Trillion Btu,250.102,Trillion Btu
329,2022-01,JFACEUS,Jet Fuel Transportation Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,18.066,Million Metric Tons of Carbon Dioxide
330,2022-01,JFACPUS,Jet Fuel Consumed by the Transportation Sector in Thousand Barrels per Day,1422.896,Thousand Barrels per Day
331,2022-01,JFEXPUS,Jet Fuel Exports in Thousand Barrels per Day,131.669,Thousand Barrels per Day
332,2022-01,JFIMPUS,Jet Fuel Imports in Thousand Barrels per Day,127.548,Thousand Barrels per Day
333,2022-01,JFPSPUS,"Jet Fuel Stocks, End of Period in Million Barrels",38.583,Million Barrels
334,2022-01,JFROPUS,Jet Fuel Refinery and Blender Net Production in Thousand Barrels per Day,1516.548,Thousand Barrels per Day
335,2022-01,JFTCBUS,Jet Fuel Product Supplied in Trillion Btu,250.102,Trillion Btu
336,2022-01,JFTCEUS,Jet Fuel CO2 Emissions in Million Metric Tons of Carbon Dioxide,18.066,Million Metric Tons of Carbon Dioxide
337,2022-01,JFTCPUS,Jet Fuel Product Supplied in Thousand Barrels per Day,1422.896,Thousand Barrels per Day
338,2022-01,JKTCUUS,Average Refiner Price of Kerosene-Type Jet Fuel to End Users in Dollars per Gallon Excluding Taxes,2.451,Dollars per Gallon Excluding Taxes
339,2022-01,JKWHUUS,Average Refiner Price of Kerosene-Type Jet Fuel for Resale in Dollars per Gallon Excluding Taxes,2.422,Dollars per Gallon Excluding Taxes
340,2022-01,KSCCBUS,Kerosene Consumed by the Commercial Sector in Trillion Btu,0.309,Trillion Btu
341,2022-01,KSCCEUS,Kerosene Commercial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,0.023,Million Metric Tons of Carbon Dioxide
342,2022-01,KSCCPUS,Kerosene Consumed by the Commercial Sector in Thousand Barrels per Day,1.756,Thousand Barrels per Day
343,2022-01,KSICBUS,Kerosene Consumed by the Industrial Sector in Trillion Btu,0.551,Trillion Btu
344,2022-01,KSICEUS,Kerosene Industrial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,0.04,Million Metric Tons of Carbon Dioxide
345,2022-01,KSICPUS,Kerosene Consumed by the Industrial Sector in Thousand Barrels per Day,3.137,Thousand Barrels per Day
346,2022-01,KSRCBUS,Kerosene Consumed by the Residential Sector in Trillion Btu,1.976,Trillion Btu
347,2022-01,KSRCEUS,Kerosene Residential Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,0.145,Million Metric Tons of Carbon Dioxide
348,2022-01,KSRCPUS,Kerosene Consumed by the Residential Sector in Thousand Barrels per Day,11.243,Thousand Barrels per Day
349,2022-01,KSTCBUS,Kerosene Product Supplied in Trillion Btu,2.836,Trillion Btu
350,2022-01,KSTCEUS,Kerosene CO2 Emissions in Million Metric Tons of Carbon Dioxide,0.208,Million Metric Tons of Carbon Dioxide
351,2022-01,KSTCPUS,Kerosene Product Supplied in Thousand Barrels per Day,16.136,Thousand Barrels per Day
352,2022-01,KSTCUUS,Average Refiner Price of Kerosene to End Users in Dollars per Gallon Excluding Taxes,3.822,Dollars per Gallon Excluding Taxes
353,2022-01,KSWHUUS,Average Refiner Price of Kerosene for Resale in Dollars per Gallon Excluding Taxes,2.655,Dollars per Gallon Excluding Taxes
354,2022-01,LNEXPBZ,Natural Gas Exports to Brazil in Billion Cubic Feet,17.322,Billion Cubic Feet
355,2022-01,LNEXPCE,Natural Gas Exports to Chile in Billion Cubic Feet,3.162,Billion Cubic Feet
356,2022-01,LNEXPCH,Natural Gas Exports to China in Billion Cubic Feet,0,Billion Cubic Feet
357,2022-01,LNEXPFR,Natural Gas Exports to France in Billion Cubic Feet,50.084,Billion Cubic Feet
358,2022-01,LNEXPIH,Natural Gas Exports to India in Billion Cubic Feet,6.866,Billion Cubic Feet
359,2022-01,LNEXPJA,Natural Gas Exports to Japan in Billion Cubic Feet,21.527,Billion Cubic Feet
360,2022-01,LNEXPOT,Natural Gas Exports to Other Countries in Billion Cubic Feet,78.326,Billion Cubic Feet
361,2022-01,LNEXPSK,Natural Gas Exports to South Korea in Billion Cubic Feet,21.824,Billion Cubic Feet
362,2022-01,LNEXPSP,Natural Gas Exports to Spain in Billion Cubic Feet,49.379,Billion Cubic Feet
363,2022-01,LNEXPTU,Natural Gas Exports to Turkey in Billion Cubic Feet,45.081,Billion Cubic Feet
364,2022-01,LNEXPUK,Natural Gas Exports to United Kingdom in Billion Cubic Feet,60.06,Billion Cubic Feet
365,2022-01,LNIMPAG,Natural Gas Imports from Algeria in Billion Cubic Feet,0,Billion Cubic Feet
366,2022-01,LNIMPAU,Natural Gas Imports from Australia in Billion Cubic Feet,0,Billion Cubic Feet
367,2022-01,LNIMPEY,Natural Gas Imports from Egypt in Billion Cubic Feet,0,Billion Cubic Feet
368,2022-01,LNIMPNI,Natural Gas Imports from Nigeria in Billion Cubic Feet,0,Billion Cubic Feet
369,2022-01,LNIMPNO,Natural Gas Imports from Norway in Billion Cubic Feet,0,Billion Cubic Feet
370,2022-01,LNIMPOM,Natural Gas Imports from Oman in Billion Cubic Feet,0,Billion Cubic Feet
371,2022-01,LNIMPOT,Natural Gas Imports from Other Countries in Billion Cubic Feet,0,Billion Cubic Feet
372,2022-01,LNIMPQA,Natural Gas Imports from Qatar in Billion Cubic Feet,0,Billion Cubic Feet
373,2022-01,LNIMPTD,Natural Gas Imports from Trinidad and Tobago in Billion Cubic Feet,6.381,Billion Cubic Feet
374,2022-01,LNIMPUA,Natural Gas Imports from United Arab Emirates in Billion Cubic Feet,0,Billion Cubic Feet
375,2022-01,LNIMPYE,Natural Gas Imports from Yemen in Billion Cubic Feet,0,Billion Cubic Feet
376,2022-01,LOACBUS,Electrical Energy System Losses Proportioned to the Transportation Sector in Trillion Btu,3.737,Trillion Btu
377,2022-01,LOCCBUS,Electrical Energy System Losses Proportioned to the Commercial Sector in Trillion Btu,743.29,Trillion Btu
378,2022-01,LOICBUS,Electrical Energy System Losses Proportioned to the Industrial Sector in Trillion Btu,551.365,Trillion Btu
379,2022-01,LORCBUS,Electricity Energy System Losses Proportioned to the Residential Sector in Trillion Btu,933.672,Trillion Btu
380,2022-01,LOTCBUS,Total Electrical Energy System Losses Proportioned to the End-Use Sectors in Trillion Btu,2232.064,Trillion Btu
381,2022-01,LUACBUS,Lubricants Consumed by the Transportation Sector in Trillion Btu,11.024,Trillion Btu
382,2022-01,LUACEUS,Lubricants Transportation Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,0.408,Million Metric Tons of Carbon Dioxide
383,2022-01,LUACPUS,Lubricants Consumed by the Transportation Sector in Thousand Barrels per Day,58.633,Thousand Barrels per Day
384,2022-01,LUICBUS,Lubricants Consumed by the Industrial Sector in Trillion Btu,10.592,Trillion Btu
385,2022-01,LUICEUS,Lubricants Industrial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,0.392,Million Metric Tons of Carbon Dioxide
386,2022-01,LUICPUS,Lubricants Consumed by the Industrial Sector in Thousand Barrels per Day,56.337,Thousand Barrels per Day
387,2022-01,LUNFBUS,Lubricants Non-Combustion Consumption in Quadrillion Btu,0.021616,Quadrillion Btu
388,2022-01,LUNFPUS,Lubricants Non-Combustion Consumption in Thousand Barrels per Day,114.97,Thousand Barrels per Day
389,2022-01,LUTCBUS,Lubricants Product Supplied in Trillion Btu,21.616,Trillion Btu
390,2022-01,LUTCEUS,Lubricants CO2 Emissions in Million Metric Tons of Carbon Dioxide,0.801,Million Metric Tons of Carbon Dioxide
391,2022-01,LUTCPUS,Lubricants Product Supplied in Thousand Barrels per Day,114.97,Thousand Barrels per Day
392,2022-01,MGACBUS,Motor Gasoline Consumed by the Transportation Sector in Trillion Btu,1195.854,Trillion Btu
393,2022-01,MGACPUS,Motor Gasoline Consumed by the Transportation Sector in Thousand Barrels per Day,7638.802,Thousand Barrels per Day
394,2022-01,MGCCBUS,Motor Gasoline Consumed by the Commercial Sector in Trillion Btu,31.173,Trillion Btu
395,2022-01,MGCCPUS,Motor Gasoline Consumed by the Commercial Sector in Thousand Barrels per Day,199.126,Thousand Barrels per Day
396,2022-01,MGEXPUS,Finished Motor Gasoline Exports in Thousand Barrels per Day,806.41,Thousand Barrels per Day
397,2022-01,MGICBUS,Motor Gasoline Consumed by the Industrial Sector in Trillion Btu,22.593,Trillion Btu
398,2022-01,MGICPUS,Motor Gasoline Consumed by the Industrial Sector in Thousand Barrels per Day,144.32,Thousand Barrels per Day
399,2022-01,MGIMPUS,Finished Motor Gasoline Imports in Thousand Barrels per Day,69.839,Thousand Barrels per Day
400,2022-01,MGROPUS,Finished Motor Gasoline Refinery and Blender Net Production in Thousand Barrels per Day,8756.129,Thousand Barrels per Day
401,2022-01,MGTCAUS,Average Cost of Motor Gasoline in Dollars per Million Btu,10.354,Dollars per Million Btu
402,2022-01,MGTCBUS,Motor Gasoline Product Supplied in Trillion Btu,1249.621,Trillion Btu
403,2022-01,MGTCOUS,Average Cost of Motor Gasoline in Dollars per Gallon,1.245,Dollars per Gallon
404,2022-01,MGTCPUS,Motor Gasoline Product Supplied in Thousand Barrels per Day,7982.248,Thousand Barrels per Day
405,2022-01,MGTCUUS,Average Refiner Price of Finished Motor Gasoline to End Users in Dollars per Gallon Excluding Taxes,3.145,Dollars per Gallon Excluding Taxes
406,2022-01,MGUCUUS,"All Grades of Gasoline, U.S. City Average Retail Price in Dollars per Gallon Including Taxes",3.5,Dollars per Gallon Including Taxes
407,2022-01,MGWHUUS,Average Refiner Price of Finished Motor Gasoline for Resale in Dollars per Gallon Excluding Taxes,2.423,Dollars per Gallon Excluding Taxes
408,2022-01,MMACEUS,"Motor Gasoline, Excluding Ethanol, Transportation Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide",78.445,Million Metric Tons of Carbon Dioxide
409,2022-01,MMCCEUS,"Motor Gasoline, Excluding Ethanol, Commercial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide",2.045,Million Metric Tons of Carbon Dioxide
410,2022-01,MMICEUS,"Motor Gasoline, Excluding Ethanol, Industrial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide",1.482,Million Metric Tons of Carbon Dioxide
411,2022-01,MMTCEUS,"Motor Gasoline, Excluding Ethanol, CO2 Emissions in Million Metric Tons of Carbon Dioxide",81.972,Million Metric Tons of Carbon Dioxide
412,2022-01,MTPSPUS,"Motor Gasoline Stocks (Including Blending Components and Gasohol), End of Period in Million Barrels",251.753,Million Barrels
413,2022-01,NGACBUS,Natural Gas Consumed by the Transportation Sector (Excluding Supplemental Gaseous Fuels) in Trillion Btu,142.26,Trillion Btu
414,2022-01,NGACEUS,Natural Gas Transportation Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,7.527,Million Metric Tons of Carbon Dioxide
415,2022-01,NGACPUS,"Natural Gas Consumed by the Transportation Sector, Total in Billion Cubic Feet",136.92,Billion Cubic Feet
416,2022-01,NGAJPUS,Natural Gas Balancing Item in Billion Cubic Feet,-45.154,Billion Cubic Feet
417,2022-01,NGBGPUS,"Natural Gas in Underground Storage, End of Period, Base Gas in Billion Cubic Feet",4437.357,Billion Cubic Feet
418,2022-01,NGC1PUS,"Natural Gas Consumption for Electricity Generation, Commercial Sector in Billion Cubic Feet",3.964,Billion Cubic Feet
419,2022-01,NGC3PUS,"Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector in Billion Cubic Feet",10.933,Billion Cubic Feet
420,2022-01,NGC5PUS,"Electricity Net Generation From Natural Gas, Commercial Sector in Million Kilowatthours",657.488,Million Kilowatthours
421,2022-01,NGC9PUS,"Natural Gas Commercial Sector, Net Summer Capacity in Million Kilowatts",2.28,Million Kilowatts
422,2022-01,NGCCPUS,Natural Gas Consumed by the Commercial Sector in Billion Cubic Feet,552.924,Billion Cubic Feet
423,2022-01,NGCCSUS,Percentage of Commercial Sector Consumption for Which Price Data Are Available in Percent,71.6,Percent
424,2022-01,NGCCUUS,"Average Natural Gas Price, Delivered to Consumers, Commercial in Dollars per Thousand Cubic Feet",9.81,Dollars per Thousand Cubic Feet
425,2022-01,NGCGUUS,"Average Natural Gas Price, Citygate in Dollars per Thousand Cubic Feet",5.39,Dollars per Thousand Cubic Feet
426,2022-01,NGECPUS,"Natural Gas Consumption for Electricity Generation and Useful Thermal Output, All Sectors in Billion Cubic Feet",1097.897,Billion Cubic Feet
427,2022-01,NGEGPUS,"Electricity Net Generation From Natural Gas, Electric Power Sector in Million Kilowatthours",126242.205,Million Kilowatthours
428,2022-01,NGEIPUS,"Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector in Billion Cubic Feet",961.384,Billion Cubic Feet
429,2022-01,NGEISUS,Percentage of Electric Power Sector Consumption for Which Price Data Are Available in Percent,88.9,Percent
430,2022-01,NGEIUUS,"Average Natural Gas Price, Electric Power Sector in Dollars per Thousand Cubic Feet",6.97,Dollars per Thousand Cubic Feet
431,2022-01,NGELPUS,NGPL Production in Billion Cubic Feet,245.994,Billion Cubic Feet
432,2022-01,NGEPPUS,"Natural Gas Consumption for Electricity Generation, All Sectors in Billion Cubic Feet",984.729,Billion Cubic Feet
433,2022-01,NGERDUS,"Average Cost of Natural Gas Receipts at Electric Generating Plants in Dollars per Million Btu, Including Taxes",6.57,"Dollars per Million Btu, Including Taxes"
434,2022-01,NGETPUS,"Electricity Net Generation From Natural Gas, All Sectors in Million Kilowatthours",135743.004,Million Kilowatthours
435,2022-01,NGEXBUS,Natural Gas Exports in Quadrillion Btu,615.593,Quadrillion Btu
436,2022-01,NGEXPCN,Natural Gas Exports to Canada in Billion Cubic Feet,81.432,Billion Cubic Feet
437,2022-01,NGEXPMX,Natural Gas Exports to Mexico in Billion Cubic Feet,175.039,Billion Cubic Feet
438,2022-01,NGEXPUS,Total Natural Gas Exports in Billion Cubic Feet,610.102,Billion Cubic Feet
439,2022-01,NGGBPUS,"Natural Gas, Net Summer Capacity  in Million Kilowatts",491.824,Million Kilowatts
440,2022-01,NGGWPUS,Natural Gas Gross Withdrawals in Billion Cubic Feet,3591.006,Billion Cubic Feet
441,2022-01,NGI1PUS,"Natural Gas Consumption for Electricity Generation, Industrial Sector in Billion Cubic Feet",53.136,Billion Cubic Feet
442,2022-01,NGI3PUS,"Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector in Billion Cubic Feet",125.581,Billion Cubic Feet
443,2022-01,NGI4PUS,"Natural Gas Consumed by the Other Industrial Sector, Non-CHP in Billion Cubic Feet",693.248,Billion Cubic Feet
444,2022-01,NGI5PUS,"Electricity Net Generation From Natural Gas, Industrial Sector in Million Kilowatthours",8843.312,Million Kilowatthours
445,2022-01,NGI9PUS,"Natural Gas Industrial Sector, Net Summer Capacity in Million Kilowatts",16.137,Million Kilowatts
446,2022-01,NGICPUS,"Natural Gas Consumed by the Industrial Sector, Total in Billion Cubic Feet",981.778,Billion Cubic Feet
447,2022-01,NGIMBUS,Natural Gas Imports in Quadrillion Btu,303.583,Quadrillion Btu
448,2022-01,NGIMPCN,Natural Gas Imports from Canada in Billion Cubic Feet,289.743,Billion Cubic Feet
